^:<name=mn2 footnote=bk>	note
1	၁။ ဗျာကရုဏ်း= ဟောကြားချက်၊
2	၁။ ဤပါဠိတော်နှင့် သီလက္ခန္ဓဝဂ္ဂပါဠိ (၇) ၌ ပုရိသကထံ မပါ (သျာ၊ ကံ၊ က) တို့၌ကား ပါသည်။
3	၂။ မြို့တွင်းလမ်းကို ဆိုလိုသည်။
4	၃။ ငါမလာမီ အကြား၌ ဖြစ်သောစကား (အဋ္ဌကထာ)
5	၄။ အကျိုးမရှိဟု ဆိုလိုသည်။
6	၅။ အမိသည် မရှိ၊ အမိ၌ ကောင်းစွာ ပြုခြင်း မကောင်း ပြုခြင်း၏ အကျိုးမရှိဟု ဆိုလိုသည် (အဖသည် မရှိ ဆိုရာ၌လည်း ဤအတူပင်)။
7	၁။ ရူပသညာ-ရူပဈာန်၌ ဖြစ်သောသညာ။
8	၂။ ပဋိဃသညာ-စက္ခုစသော ဝတ္ထုရုပ်ငါးပါး၌ ရူပါရုံစသော အာရုံငါးပါးတို့ ထိခိုက်သောအခါ ဖြစ်ပေါ်လာသော ပဉ္စဝိညာဏ်သညာ။
9	၃။ ပဋိဃသညာမှ တစ်ပါးသော အမျိုးမျိုးသော ကာမာဝစရသညာ။
10	၄။ ဥပ္ပလ ကြာဖြူ ကြာနီ ကြာညို။
11	၅။ သူငယ်နံ့သာပျောက်စေခြင်းငှါ ငယ်စဉ်က နံ့သာဖြင့် ပွတ်သပ်ပေးရခြင်းကို ဆိုလိုသည်။
12	၆။ တွေဝေခြင်း မောဟဟူသည်- သစ္စာလေးပါးအရာ၌ အမှန်ကို မသိခြင်း အမှားကို သိခြင်းတည်း။
13	၁။ အပ္ပါဋိဟီရကထန္တိ အနိယျာနိကံ အမူလကံ နိရတ္ထကံ သမ္ပဇ္ဇတိ (အဋ္ဌကထာ)။
14	၁။ အာဝေသနံ သိပ္ပသာလာ အဘိဓာန်။
15	၂။ အစည်း စည်း၍ နေလှန်းထားသဖြင့် ဖြော့တော့သော အဆင်းရှိသော။
16	၁။ သနပ်ခါးဖိုး ပန်းဖိုးမျှ ရှိသေး၏ဟု ဆိုလိုသည်။
17	၁။ မဟာဘာရတစသော ရှေးဟောင်း ရာဇဝင် ပုံပြင်ကျမ်း။
18	၂။ ဝေဒကျမ်းလာ ပုဒ်ရင်းတို့ကို ထုတ်နုတ်စီစဉ် ပြသောကျမ်း။
19	၃။ ဓာတ် + ပစ္စည်း+ ဝိဘတ်တို့ဖြင့် ဝေဖန်၍ ပုဒ်တို့၏ ပြီးစီးပုံကို ပြသောကျမ်း။
20	၄။ မျက်မြင် လောကအကြောင်းကိုသာ ပြသော ရုပ်ဝါဒကျမ်း။ (စာရ်ဗာကဆရာ၏ ရုပ်ဝါဒစသည်)။
21	၁။ အတိုင်ပင်ခံအမတ်
