^:<name=an2 footnote=bk>	note
1	၁။ ပါဠိတော်ကို ဆိုသည်။
2	၂။ အဋ္ဌကထာကို ဆိုသည်။
3	၁။ အဇ္ဈတ္တသံယောဇဉ် ကာမဘဝ၌ တပ်မက်သော ဆန္ဒရာဂ၊ တနည်း သြရမ္ဘာဂိယသံယောဇဉ်။
4	၂။ ဗဟိဒ္ဓသံယောဇဉ် ရူပ အရူပဘဝတို့၌ တပ်မက်သောဆန္ဒရာဂ၊ တနည်း ဥဒ္ဓံဘာဂိယသံယောဇဉ်။
5	၃။ ကာမဂုဏ်ငါးပါးကို အကြောင်းပြု၍ ဖြစ်သော တပ်မက်ခြင်းရာဂ။
6	၅။ သာဝတ္တိနာမနဂရံ-ဟု ပါဋ္ဌိတော်ရှိသည်။ မြို့တော်ဖြစ်သော်လည်း မင်းနေပြည်ဖြစ်၍ သာဝတ္တိပြည်ဟု နေရာ	အများမှာ သုံးသည်။
7	၆။ ပိတ်ချင်းနတ်တော။
8	၁။ ကိလေသာတို့မှ ကင်းဝေးဆိတ်ညံမှုကို ဆိုသည်။
9	၂။ ဈာန် ဝိပဿနာ မဂ် ဖိုလ်တို့ကို ဆိုသည်။
10	၃။ ရှစ်ပါးသော သမာပတ်တို့ဖြင့် ဝိက္ခမ္ဘနဝိမုတ္တိအားဖြင့်လည်းကောင်း မဂ်ဖြင့် သမုစ္ဆေဒဝိမုတ္တိ အားဖြင့်လည်းကောင်း နှစ်ကြိမ် သို့မဟုတ် နှစ်ပါးသော အဖို့တို့မှ လွတ်မြောက်သော အရဟတ္တ ဖလဋ္ဌာန်ပုဂ္ဂိုလ်။
11	၄။ ပညာရှေ့ဆောင်ခြင်းဖြင့် ဖြစ်စေ သဒ္ဓါရှေ့ဆောင်ခြင်းဖြင့် ဖြစ်စေ သမာပတ်ရှစ်ပါးကို မရမူ၍ ကိလေသာမှ လွတ်သော အရဟတ္တဖလဋ္ဌာန်ပုဂ္ဂိုလ်။
12	၅။ ပညာရှေ့ဆောင်ခြင်းဖြင့် ဖြစ်စေ သဒ္ဓါရှေ့ဆောင်ခြင်းဖြင့် ဖြစ်စေ သမာပတ်ရှစ်ပါးနှင့် ပြည့်စုံခဲ့၍ နိဗ္ဗာန်ကို မျက်မှောက် ပြုသော သောတာပတ္တိဖလဋ္ဌာန်ပုဂ္ဂိုလ်မှ စ၍ အရဟတ္တမဂ္ဂဋ္ဌာန်ပုဂ္ဂိုလ်အထိ သေက္ခပုဂ္ဂ္ဂိုလ် ခြောက်ဦးတို့တွင် တစ်ဦးသောပုဂ္ဂိုလ်။
13	၆။ ပညာရှေ့ဆောင်ခြင်းဖြင့် သမာပတ်ရှစ်ပါးကို မရမူ၍ မဂ်ဖိုလ်ဉာဏ်အမြင်သို့ ဆိုက်ရောက်သော သောတာပတ္တိ ဖလဋ္ဌာန် ပုဂ္ဂိုလ်မှ စ၍ အရဟတ္တမဂ္ဂဋ္ဌာန်ပုဂ္ဂိုလ်အတိ ေp class="footnote"က္ခပုဂ္ဂ္ဂိုလ် ခြောက်ဦးတို့တွင် တစ်ဦးသောပုဂ္ဂိုလ်။
14	၇။ သဒ္ဓ္ဓါရှေ့ဆောင်ခြင်းဖြင့် သမာပတ်ရှစ်ပါးကို မရမူ၍ကိလေသာမှ လွတ်သော သောတာပတ္တိဖလဋ္ဌာန်မှ အရဟတ္တ မဂ္ဂဋ္ဌာန် ပုဂ္ဂိုလ်အထိ သေက္ခပုဂ္ဂ္ဂိုလ် ခြောက်ဦးတို့တွင် တစ်ဦးသောပုဂ္ဂိုလ်။
15	၈။ ပညာရှေ့ဆောင်ခြင်းဖြင့် သမာပတ်ရှစ်ပါးနှင့်ပြည့်စုံခဲ့၍ သောတာပတ္တိမဂ်ဖိုလ်သို့ ရောက်ပြီးလျှင်တရားကို အောက်မေ့လေ့ရှိသော ပုဂ္ဂိုလ်။
16	၉။ သဒ္ဓ္ဓါရှေ့ဆောင်ခြင်းဖြင့် သမာပတ်ရှစ်ပါးကို မရမူ၍ သောတာပတ္တိမဂ်ဖိုလ်သို့ ရောက်ပြီးလျှင် သဒ္ဓါကို အောက်မေ့ခြင်းရှိသော ပုဂ္ဂိုလ်။
17	၁။ ပုဗ္ဗကာရီ ပုဂ္ဂိုလ်။
18	၂။ ကတညုတ ကတဝေဒီပုဂ္ဂိုလ်။
19	၃။ တရားအထွတ်အထိပ်သို့ရောက်၍ နှလုံးအလိုပြည့်သဖြင့် နှိမ်သိမ့်ကြေနပ်သော ရဟန္တာနှင့် ပစ္စေကဗုဒ္ဓါ။
20	၄။ တရားအထွတ်အထိပ်သို့ရောက်၍ နှလုံးအလိုပြည့်သဖြင့် မိမိလည်း နှစ်သိမ့်ကြေနပ်၍ ဝေနေယျအများကိုလည်း နှစ်သိမ့်ကြေနပ်စေသော သဗ္ဗညုမြတ်စွာဘုရား။
21	၁။ မိတ္တဝိန္ဒကနှင့် အဇာတသတ် စသည်။
22	၂။ သုဝဏ္ဏသာမနှင့် ဃဋိကာရ စသည်။
23	၃။ ဒေဝဒတ်နှင့် ကောကာလိက စသည်။
24	၄။ အရှင်အာနန္ဒာနှင့် အနာထပိဏ်သူဌေး စသည်။
25	၁။ သီဟိုဠ် ယိုးဒယား ကမ္ဘောဒီးယား အင်္ဂလိပ်မူတို့၌ မရှိ။
