^:<name=dn3 footnote=bk>	note
1	၁။ မြေခွေးယုတ် နှင့် ခြင်္သေ့ သံကား အဘယ်မှာ သက်ဆိုင်ပါအံ့နည်း။	မြေခွေးယုတ် နှင့် ခြင်္သေ့ သံကား မတန်မရာလေစွဟု အဓိပ္ပါယ်ရနိုင်သည်။
2	၃။ မြတ်စွာဘုရားကို ယုတ်သော ပါထိကပုတ္တ၏ ပုတ်ခတ်ခြင်းကား အဘယ်မှာ ထိရောက်ပါအံ့နည်း။ လပြည့်ဝန်းကို ဟောင်သကဲ့သို့သာ ရှိလေစွ ထင်အပ်လေစွဟု အဓိပ္ပါယ်ရနိုင်သည်။
3	၁။ ဒုတိယဈာန်သုံးဘုံတွင် တတိယဘုံ၊ အရောင်အဝါထွက်သော ဗြဟ္မာတို့၏ နေရာ။
4	၂။ ခိဍ္ဍာပဒေါသိက (ပါဠိ) ခိဍာ၊ ပျော်ပါးခြင်းကြောင့်။ ပဒေါသိက၊ ပျက်စီးသောနတ်။
5	၃။ မနော၊ စိတ်ကြောင့်။ ပဒေါသိက၊ ပျက်စီးသောနတ်။
6	၁။ မြို့တွင်းရှိလမ်းကို ဆိုသည်။
7	၂။ ထိုခေတ်တွင် ထိုဒေသ၌နေသော လူတို့သည် အဝတ်ဖြူကို ဝတ်လေ့ရှိ၍ ရသေ့ ရဟန်းတို့သည် ဖန်ရည်ဆိုးအဝတ်ကို ဝတ်လေ့ရှိသည်။
8	၃။ အားထုတ်လုံးလဖြင့် မကောင်းမှုကို ပယ်ခြင်းဟု အဋ္ဌကထာပြဆိုသည်၊ စင်စစ်သော်ကား ကိလေသာကုန်ခန်းစေရန် ဆို၍ အဝတ်မဝတ်ခြင်း အစာမစားခြင်း ရေချိုးခြင်း မီးလှုံခြင်း စသည်ဖြင့် မိမိကိုယ်ကို ညှဉ်းပန်းသော အတ္တကိလမထာအကျင့်မျိုးကို စွဲယူကျင့်သုံးသော ဝါဒဖြစ်သည်။
9	၄။ အဓိဇေဂုစ္ဆာဝါဒနှင့် အလားတူ ဖြစ်သည်
10	၅။ အမျိုးကောင်းသားတို့၏ အလေ့အထဟူသမျှကို ပယ်၍ ရပ်လျက် ကျင်ကြီးကျင်ငယ်စွန့်ခြင်း စသည်ကို ပြု ခြင်းပင်တည်း။
11	၆။ တိတ္ထိတက္ကတွန်းများ ပရိဗိုဇ်များကို ဆိုလိုသည်။
12	၇။ ဂျုံဆန် သို့မဟုတ် ဆန်စိမ်းဟု အချို့မူများ၌ ပြန်၏။
