^:<name=an1 footnote=bk>	note
1	၁။ ရာဂဖြစ်ကြောင်း နှစ်သက်ဖွယ် အာရုံ။
2	၂။ ကာမဂုဏ်တို့၌ ဖြစ်ပေါ်သော လိုလားတောင့်တခြင်း။
3	၃။ ဒေါသဖြစ်ကြောင်း မနှစ်သက်ဖွယ် အာရုံ။
4	၄။ သူတစ်ပါးကို ပျက်စီးစေလိုခြင်း။
5	၅။ စိတ်၏ မခံ့ကျန်းခြင်း လေးလံထိုင်းမှိုင်းခြင်း။
6	၆။ ကိုယ်၏ မခံ့ကျန်းခြင်း လေးလံထိုင်းမှိုင်းခြင်း။
7	၇။ ဈာန်ဖြင့်သော်လည်းကောင်း ဝိပဿနာဖြင့်သော်လည်းကောင်း မငြိမ်းအေးစေအပ်သေးသော စိတ်။
8	၈။ စိတ်၏ ပျံ့လွင့်ခြင်း။
9	၉။ ပြုလိုက်မိသော မကောင်းမှု မပြုလိုက်မိသော ကောင်းမှုကြောင့် ဖြစ်ပေါ်သော နှလုံးမသာခြင်း။
10	၁၀။ အနိစ္စ၌ နိစ္စဟု ဒုက္ခ၌ သုခဟု အနတ္တ၌ အတ္တဟု အသုဘ၌ သုဘဟု မှားသောနည်းလမ်းဖြင့် စိတ်၌ ထားခြင်း။
11	၁၁။ ဘုရားတရား သံဃာ သိက္ခာ စသည်တို့၌ သို့လော သို့လော တွေးတော ယုံမှားခြင်း။
12	၁၂။ ဥဒ္ဓုမာတက စသည့် အသုဘ ဆယ်ပါး၌ ဖြစ်သောအာရုံနှင့် တကွသော ပဌမဈာန်။
13	၁၃။ ဗျာပါဒမှ လွတ်သောစိတ်နှင့် ယှဉ်သော မေတ္တာဈာန်။
14	၁၄။ ဦးစွာအစ အားထုတ်ခြင်း။
15	၁၅။ ပျင်းရိမှုမှ လွတ်မြောက်အောင် အားထုတ်ခြင်း။
16	၁၆။ နိက္ကမဓာတ်ထက် လွန်ကဲအောင် အားထုတ်ခြင်း။
17	၁၇။ အနိစ္စ၌ အနိစ္စဟု ဒုက္ခ၌ ဒုက္ခဟု အနတ္တ၌ အနတ္တဟု အသုဘ၌ အသုဘဟု မှန်သော နည်းလမ်းဖြင့် စိတ်၌ထားခြင်း။
18	၁။ ဘာဝနာ၏ အစွမ်းဖြင့် မပွါးများအပ်သေး မဖြစ်စေအပ်သေးသော။
19	၂။ ဝဋ်ဆင်းရဲ၌ အကျုံးဝင်သော လောကီစိတ်။
20	၃။ ပါဒကဈာန် ဝိပဿနာ မဂ် ဖိုလ် နိဗ္ဗာန်တို့သို့ ရောက်အောင် ပြုခြင်းငှါ မသင့်လျော် မလွယ်ကူ။
21	၄။ ဘာဝနာအစွမ်းဖြင့် ပွါးများအပ်ပြီး ဖြစ်စေအပ်ပြီးသော။
22	၅။ ဝဋ်ဆင်းရဲမှ ကင်းလွတ်သော လောကုတ္တရာစိတ်။
23	၁။ စူးလတ္တံ့သော အခြင်းအရာဖြင့် ဆူးအဖျားကို အထက်သို့ ထောင်မထားခြင်းကို ဆိုသည်။
24	၂။ သစ္စာလေးပါးကို မသိမြင်အောင် ဖုံးလွှမ်းသော မောဟမှောင်တိုက်။
25	၃။ မောဟမှောင်တိုက်ကို ဖောက်၍ သိမြင်သော အရဟတ္တဖိုလ်ဉာဏ်။
26	၁။ ဒိဋ္ဌိ ဝိစိကိစ္ဆာ စသော ကိလေသာတို့ဖြင့် ရစ်ပတ် ဖုံးလွှမ်းနေသော ပုဂ္ဂိုလ်။
27	၂။ ရဟန်းဖြစ်စေ လူဖြစ်စေ မဂ် ဖိုလ် ဆိုက်ရောက်ပြီးသော မြတ်စွာဘုရား၏ တပည့်သားအပေါင်း။
28	၂။ သဒ္ဓါမရှိသော, သီလမရှိသော, အကြားအမြင်နည်းသော, နှမြောဝန်တိုသော, ပညာမဲ့သော အဆွေခင်ပွန်း။
29	၁။ သဒ္ဓါရှိသော, သီလရှိသော, အကြားအမြင်များသော, ပေးလှူစွန့်ကြဲတတ်သော, ပညာရှိသော အဆွေခင်ပွန်း။
30	၂။ ဗောဓိဉာဏ်၏ အစိတ်အပိုင်း ဗုဒ္ဓဖြစ်ကြောင်းအင်္ဂါ၊ သစ္စာလေးပါးကို သိစေတတ်သော တရား။
31	၁။ သုတ္တန်ပရိယာယ်အားဖြင့် အကုသလကမ္မပထတရားဆယ်ပါး ဝိနည်းပရိယာယ်အားဖြင့် မဟုတ်မမှန်သော ဝတ္ထုဖြင့် စောဒနာခြင်းစသည်။
32	၃။ သုတ္တန်ပရိယာယ်အားဖြင့် ရာဂစသည်တို့ကို မပယ်ခြင်း ပညာဖြင့် မဆင်ခြင်ခြင်း၊ ဝိနည်းပရိယာယ်အားဖြင့် ဝတ္ထုဝိပတ္တိ သီမာဝိပတ္တိစသည်။
33	၁။ ပါရမီဂုဏ် ဘုန်းဂုဏ်တို့ကြောင့် ကြွင်းသော သတ္တဝါတို့နှင့် မတူမူ၍ ခပ်သိမ်းသော သတ္တဝါတို့နှင့် မတူသည့် ရှေးဘုရားတို့နှင့်သာ တူသဖြင့် နှစ်ဦးမြောက် ဒုp class="footnote"ယပုဂ္ဂိုလ် မရှိသောကြောင့် တစ်ဦးတည်းသောပုဂ္ဂိုလ်ဟု ဆိုသည်။
34	၂။ ဖိုလ်စိတ်နှင့်ယှဉ်သောဉာဏ် ဖိုလ်ဉာဏ်။
35	၃။ ဖိုလ်ဉာဏ်မှ ကြွင်းသော သမ္မယုတ်တရားများ။
36	၁။ ရဟန်းဘဝဖြင့် နေခဲ့သောညဉ့်တရားရပြီး သေက္ခဘဝ ရဟန္တာဘဝနေခဲ့သော ညဉ့်တို့ကို သိကုန် ရေတွက်မှတ်သားမိကုန်သောဟု ဆိုလိုသည်။
37	၂။ ဓူတင်အကျင့်ဖြင့် ကိလေသာကို ခါထုတ်ခြင်းသည် ဓုတဂုဏ်။
38	၃။ ဓူတင်အကျင့်ဖြင့် ကိလေသာကို ခါထုတ်ဖျက်ဆီးရန် ဟောပြောခြင်းသည် ဓုတဝါဒမည်၏။
39	၁။ လူဖြစ်စဉ်က တစ်ကုဋေတန်သော နားတန်ဆာကို ဝတ်ဆင်သောကြောင့် ဤအမည်ကို ရသည်။
40	၂။ ချည် အထည် ဆိုးရည်အားဖြင့် သုံးမျိုးလုံးညံ့သောဟု ဆိုလိုသည်။
41	၁။ မိထွေးတော်ဂေါတမီ၏သမီး ဇနပဒကလျာဏီပင် ဖြစ်သည်။
42	၂။ ရာဟုလာ၏ မယ်တော် ယသော်ဓရာတည်း။
43	၁။ သုရမ္ဗဋ္ဌဟု အဋ္ဌကထာ၌ ရှိ၏။
44	၁။ သဗ္ဗညုမြတ်စွာဘုရားတို့၏ ဂုဏ်တန်ခိုးတော် ကြီးကျယ်သောကြောင့်တည်း။
45	၁။ ချိုသော မျိုးစေ့မှ ခါးသောအသီး ဖြစ်ရိုး မရှိသကဲ့သို့ပင်တည်း။
46	၁။ အာပေါကသိုဏ်းစီးဖြန်းသော ဘာဝနာစိတ်နှင့် ဒိဗ္ဗစက္ခုအဘိညာဉ်စိတ်။
47	၂။ ဝိပဿနာဉာဏ် မနောမယိဒ္ဓိဉာဏ်နှင့် အဘိညာဉ်ခြောက်ပါးအားဖြင့် ဝိဇ္ဇာရှစ်ပါး။
48	၃။ ဝိပဿနာဉာဏ် မဂ်ဉာဏ်။
49	၄။ ဖိုလ်ဉာဏ်လေးပါး။
50	၅။ နိဗ္ဗာန်။
51	၆။ ဒိဗ္ဗစက္ခုအဘိညာဉ်။
52	၇။ မဂ်ဉာဏ်။
53	၈။ မဂ်နှင့်ယှဉ်သော တရား။
54	၉။ အရဟတ္တဖိုလ်။
55	၁၀။ သစ္စာလေးပါးကို မသိအောင် ဖုံးလွှမ်းသော မောဟမှောင်တိုက်ကို ဆိုသည်။
56	၁၁။ မောဟမှောင်တိုက်ကို ထွင်းဖောက်သိမြင်နိုင်သော အရဟတ္တဖိုလ်ဉာဏ်ကို ဆိုသည်။
57	၁၂။ ငါ မြတ်သည် ငါ ယုတ်သည် စသည်ဖြင့် ဖြစ်သော ကိုးမျိုးသော ထောင်လွှားမှုကို ဆိုသည်။
58	၁၃။ ကာမရာဂစသည် ခုနစ်မျိုးသော အခြေခံ အငုတ်ဓာတ်များ။
59	၁၄။ ကာမရာဂစသည့် ဆယ်မျိုးသော အနှောင်အဖွဲ့ ဓာတ်များ။
60	၁၅။ စက္ခုစသော ၁၈-ပါးသောဓာတ်တို့၏ လက္ခဏာကိုသိခြင်း။
61	၁၆။ ယင်းတစ်ဆယ့်ရှစ်ပါးသော ဓာတ်တို့၏ အမျိုးမျိုးသော လက္ခဏာကို သိခြင်း။
62	၁၇။ ဤဓာတ် ပြန့်ပြောလျှင် ဤအကျိုး ဖြစ်၏ဟု ခွဲခြမ်း၍ သိခြင်း။
63	၁၈။ ဤမှစ၍ ၁၅-သုတ်တို့၌ လာသော ပညာဟူသည် မဂ်ဉာဏ် ဖိုလ်ဉာဏ် ပဋိသမ္ဘိဒါဉာဏ် စသည်ကို ဆိုသည်။
